Summary,Issue key,Issue Type,Project key,Project name,Components,Labels,Description,Outward issue link (Relates),Custom field (Content Type),Custom field (Issue Code),Platforms,Populations,Custom field (Recommended Code),Custom field (Reference(s)),Custom field (Remediation Guidance),Custom field (Severity),WCAG SC,Custom field (Youtube Video URL)
Users are not warned against autoplaying videos,GUT-114,Warning,GUT,Gutenberg,Block Types; Output Markup, ,"Authors who create Video or Audio blocks can, in the Block panel, set the media to autoplay.

Autoplaying video can interfere with users of text-to-speech software such as screen readers and screen magnifiers, as well as make focussing on content difficult for users with cognitive disabilities.

",,Other,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; Motor Impaired,,,"When users are adding video or audio content and select the ""Autoplay"" checkbox in the Block panel, add a warning that informs users of some of the accessibility issues with autoplay, similar to the color contrast warnings shown when users choose low-contrast color combinations.",Low,  ,
Users cannot add video metadata in the visual editor,GUT-113,Warning,GUT,Gutenberg,Block Types; Output Markup, ,"Authors cannot add captions (such as .srt or .vtt files) to video media using the visual editor.

Users who do not have HTML knowledge may not know how to do these things using HTML, resulting in them publishing content which is less accessible to readers.",,Document Structure,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; ,,,"The ability to add captions should be part of the Video block's visual editor, similar to the way that image media provides the option to add a caption.",Medium,1.2.2 Captions (Prerecorded) (Level A)  ,
Users can duplicate post titles,GUT-112,Warning,GUT,Gutenberg,Output Markup   , ,"It's possible for authors to create multiple posts with the same page title.

Assistive technology users may rely on the title to understand the primary purpose of each page. When titles are not unique, it may be more difficult and laborious for such users to determine what the page is about.",,Document Structure,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; ,,,"Having something warn authors that another post has already been published (not drafted) with the same title would help authors ensure post titles are unique.

This need not literally prevent users from creating multiple posts with the same title, merely warn them why this is not a good idea.",Medium,2.4.2 Page Titled (Level A)  ,
Language and text direction are not editable in the visual editor,GUT-111,Warning,GUT,Gutenberg,Block Editing; Title Block, ,"Users who need to add content in multiple languages cannot set the `lang` or `dir` attribute for a block using the visual editor. Instead, users must manually switch to the HTML editor.

In the HTML editor, adding a `dir` or `lang` attribute brings up an error and the offer to resolve the error by either removing the `dir` and `lang` attributes or converting the block to HTML.  This allows users to manually add in these attributes, however the editor suggesting that these are errors may lead users to believe they cannot use these attributes at all. It also requires users to be familiar with HTML.",GUT-110,Text Content and Typography,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; ,,,"Add the ability to define `lang` and `dir` attributes in the visual editor (probably via the block editing options), ideally with user-friendly options such as choosing from language names and then choosing between ""left to right"", ""right to left"" or ""vertical"".",Medium,3.1.2 Language of Parts (Level AA)  ,
Language cannot be set on posts,GUT-110,Bug,GUT,Gutenberg,Output Markup   , ,"Posts written in languages other than the editor's own setting cannot have the correct language attributes defined.

Declaring the correct language of a page is vital, so that browsers can determine how to render the textual content, and assistive technologies can determine how it should be pronounced.
",,Text Content and Typography,"<article id=""post-19"" class=""..."">...</article>",All/ Universal,Blind; Cognitively Impaired; Low-Vision; ,"<article lang=""es"" id=""post-19"" class=""..."">...</article>",,Allow authors to set `lang` and `dir` attributes that apply to the whole post.,High,3.1.1 Language of Page (Level A); 3.1.2 Language of Parts (Level AA) ; ,
Blocks are difficult to edit with speech recognition,GUT-109,Bug,GUT,Gutenberg,Block Editing; Title Block,Dragon ,"Users of speech recognition software such as Dragon NaturallySpeaking, who are attempting to edit blocks, have difficulty bringing their focus into the blocks. The Title block in particular does not retain added text when users attempt to move focus elsewhere (for example, by saying ""press tab"").

Pre-filled Title blocks which have text added to them do not seem to adjust their size when dictation adds more text. This makes the additional text not visible to users unless they manually move their cursor to the end. Only by switching to keyboard or mouse does the Title block adjust its size to show all current text.

Currently, the only way to retain added text in the Title block, is to speak keyboard commands for moving focus to something else.
 ",,Other,,Windows - Dragon,Motor Impaired ; ,,https://github.com/WordPress/gutenberg/issues/5468,"Speech recognition users should be able to use speakable keyboard commands such as ""press tab"" and get the same results as a keyboard user pressing the Tab key (i.e. where dictated text remains, just as typed text would).

When focus is moved into a block via speech commands, the block should adjust its size to ensure that added text is visible.",Medium,2.5.6 Concurrent Input Mechanisms (Level AAA)  ,
Users are able to directly link images,GUT-108,Warning,GUT,Gutenberg,Block Editing   ,Links ,"Authors adding image media to posts have the option to link to that image directly. There is a section to write alt text for the image, but nothing for link text.

Links whose sole link text is the alternate text of an image do not adequately state where the link will go to, and this can be confusing for screen reader users and users with cognitive disabilities. Linking directly to images is also inadvisable, because the resulting image view in the browser does not include alternate text.

Therefore the editor should warn users about these issue.
",,Images and Non-text Content,,All/ Universal,Blind; Cognitively Impaired; Low-Vision; ,,,"The Block panel should include a warning about linking directly to images, similar to the way that poor combinations of text and background contrast are conveyed.

Additionally, images used to link to other resources should offer a field in the Block panel to add dedicated link text separate from the image's own description.
",Medium,2.4.4 Link Purpose (In Context) (Level A)  ,
Media players receive focus but show no visible focus state,GUT-106,Bug,GUT,Gutenberg,Output Markup   ,Focus; Keyboard; ,"Keyboard users who are navigating through a published (or previewed) page may come across media players implemented with native audio and video elements. These receive keyboard focus in most or all browsers, but the page does not visually show it. This results in invisible Tab stops.

All interactive elements should have a visible and obvious focus indicator, so that sighted keyboard users have a clear indication of which element has focus.



",,Keyboard Accessibility and Focus Control,":focus {
    outline: none;
}",All/ Universal,Cognitively Impaired; Low-Vision; Motor Impaired; ,"audio:focus, video:focus {
    outline: 1px solid #0085ba;
}
",,"Whenever the native focus `outline` is removed from focusable elements, a replacement visual focus state must be provided, with a minimum contrast ratio of 3:1.",High,2.1.1 Keyboard (Level A); 2.4.7 Focus Visible (Level AA) ; ,
Current-page link is not programmatically labelled as such,GUT-105,Bug,GUT,Gutenberg,Output Markup   , ,"When a page is created and users view it, its name appears in the sidebar under ""Recent Posts"", however there is no visual or semantic indication that this link relates to the current page.

Since it's possible for authors to create multiple articles with the same name, the lack of indication may cause confusion for users with cognitive disabilities and screen reader users.

  ",,"Role, State, and Accessibility Properties","<li>
    <a href=""..."">...</a>
</li>",All/ Universal,Cognitively Impaired; Low-Vision ,"<li>
    <a href=""..."" aria-current=""page"">...</a>
</li>
...
widget_recent_entries a[aria-current] {
    /* styles */
}",,"Whenever the current page is reflected in a menu on that page, add `aria-current=""page""` to the applicable link.

Use the `aria-current` attribute as a hook to add a distinctive visual style to separate it from other links.",Medium,2.4.4 Link Purpose (In Context) (Level A); 2.4.8 Location (Level AAA) ; ,
Citation field is only indicated by placeholder text,GUT-104,Warning,GUT,Gutenberg,Block Editing   , ,"The Quote block type includes an editable area to define a citation. However this area is only visually indicated with placeholder text, it has no visible boundary. The placeholder text also vanishes when focus leaves the block, and when focus enters the control. There is no other visual cue that a field exists there.

Active user interface components should be easily distinguishable by people with moderately low-vision, and consistently available so long as the control can be activated, for the benefit of users with short-term memory loss and other cognitive disabilities.

 ",,Frames,,All/ Universal,Cognitively Impaired; Low-Vision ,,,"So long as the citation field can be filled in, use a design that makes it visually obvious that it's an editable field.",Low,  ,
Users cannot add table metadata in the visual editor,GUT-103,Bug,GUT,Gutenberg,Block Editing; Output Markup, ,"Authors using the visual editor can create a table, however the table which results is only a series of rows and columns with no column-header information, which may cause assistive technologies to assume these are layout tables rather than data tables.

Users appear to be only able to add table headers by switching to the HTML view. However not all authors have HTML knowledge and so may be producing inaccessible tables.

Authors attempting to add table semantics such as a `<caption>` element are shown an error, which may cause people using the editor to think these are real errors.
",GUT-113,Document Structure,"<!-- default resultant code in HTML view -->
<table class=""wp-block-table is-style-regular"">
    <tbody>
        <tr>
            <td>This is a table!</td>
            <td>For tabular data</td>
        </tr>
        <tr>
            <td>But has no apparent way</td>
            <td>Of creating headers etc. without editing as HTML</td>
        </tr>
    </tbody>
</table>",All/ Universal,Blind; Cognitively Impaired; Low-Vision; ,"<table class=""wp-block-table is-style-regular"">
    <thead>
        <tr>
            <th>This is a table!</th>
            <th>For tabular data</th>
        </tr>
    </thead>
    <tbody>
        <tr>
            <td>But has no apparent way</td>
            <td>Of creating headers etc. without editing as HTML</td>
        </tr>
    </tbody>
</table>",,"Make the default Table block type assume that the first row is a header row. This assumption is similar to what CSV files do, and will help content authors create semantic tables despite any lack of HTML knowledge.

Allow users to use the HTML editor to add in other semantics, such as `<caption>` elements or `scope` attributes, without showing these as errors to users. ",Medium,  ,
